iter	Passed	Remaining
605	2245	8871
606	2249	8867
607	2252	8862
608	2255	8857
609	2260	8855
610	2263	8850
611	2266	8845
612	2271	8845
613	2275	8841
614	2278	8836
615	2282	8831
616	2285	8827
617	2288	8821
618	2292	8817
619	2295	8813
620	2299	8808
621	2302	8803
622	2306	8800
623	2310	8798
624	2314	8793
625	2318	8792
626	2321	8787
627	2325	8782
628	2328	8776
629	2331	8771
630	2335	8767
631	2338	8762
632	2342	8760
633	2346	8756
634	2349	8751
635	2353	8746
636	2356	8741
637	2361	8741
638	2364	8735
639	2367	8729
640	2370	8725
641	2375	8726
642	2379	8722
643	2382	8717
644	2386	8713
645	2389	8708
646	2393	8705
647	2397	8701
648	2400	8696
649	2403	8691
650	2407	8685
651	2410	8680
652	2414	8677
653	2417	8673
654	2420	8667
655	2424	8662
656	2428	8659
657	2431	8653
658	2435	8650
659	2438	8646
660	2442	8641
661	2446	8639
662	2450	8636
663	2454	8635
664	2459	8634
665	2463	8632
666	2466	8627
667	2469	8622
668	2473	8617
669	2476	8612
670	2479	8606
671	2483	8602
672	2488	8602
673	2491	8597
674	2494	8592
675	2497	8587
676	2500	8581
677	2504	8576
678	2507	8572
679	2511	8567
680	2514	8563
681	2518	8559
682	2522	8557
683	2525	8552
684	2529	8547
685	2533	8544
686	2536	8539
687	2539	8534
688	2543	8530
689	2546	8526
690	2550	8523
691	2554	8518
692	2557	8514
693	2561	8509
694	2564	8505
695	2568	8501
696	2571	8495
697	2574	8490
698	2578	8489
699	2582	8484
700	2585	8479
701	2588	8474
702	2592	8469
703	2596	8468
704	2600	8464
705	2603	8460
706	2607	8456
707	2612	8456
708	2615	8452
709	2618	8446
710	2622	8442
711	2626	8439
712	2629	8434
713	2632	8429
714	2636	8426
715	2640	8422
716	2643	8418
717	2647	8413
718	2650	8409
719	2654	8405
720	2657	8399
721	2661	8396
722	2664	8392
723	2668	8387
724	2671	8384
725	2676	8382
726	2679	8378
727	2682	8373
728	2686	8369
729	2690	8365
730	2693	8360
731	2697	8356
732	2700	8351
733	2703	8347
734	2706	8341
735	2710	8337
736	2713	8333
737	2718	8331
738	2721	8327
739	2725	8322
740	2728	8317
741	2732	8314
742	2735	8310
743	2739	8306
744	2742	8302
745	2747	8301
746	2751	8297
747	2754	8293
748	2757	8288
749	2761	8283
750	2764	8279
751	2767	8274
752	2771	8270
753	2774	8265
754	2778	8262
755	2781	8256
756	2784	8251
757	2788	8248
758	2791	8243
759	2795	8238
760	2798	8234
761	2801	8229
762	2805	8225
763	2808	8220
764	2812	8216
765	2815	8212
766	2819	8207
767	2822	8203
768	2826	8200
769	2830	8197
770	2834	8193
771	2837	8188
772	2840	8184
773	2844	8180
774	2848	8176
775	2852	8175
776	2855	8170
777	2859	8166
778	2862	8162
779	2866	8157
780	2869	8154
781	2873	8149
782	2876	8145
783	2881	8143
784	2884	8139
785	2888	8137
786	2891	8132
787	2895	8128
788	2898	8123
789	2903	8122
790	2906	8117
791	2911	8115
792	2915	8113
793	2919	8111
794	2923	8108
795	2928	8107
796	2932	8106
797	2936	8102
798	2939	8098
799	2943	8093
800	2946	8088
801	2950	8085
802	2953	8080
803	2956	8075
804	2960	8071
805	2963	8067
806	2967	8062
807	2971	8061
808	2975	8058
809	2980	8057
810	2985	8057
811	2988	8053
812	2992	8050
813	2996	8046
814	2999	8041
815	3003	8038
816	3006	8033
817	3010	8029
818	3013	8025
819	3017	8021
820	3020	8017
821	3025	8015
822	3028	8010
823	3031	8006
824	3036	8005
825	3039	8001
826	3044	7999
827	3047	7994
828	3051	7991
829	3055	7987
830	3059	7986
831	3062	7981
832	3066	7976
833	3070	7975
834	3074	7970
835	3077	7966
836	3080	7961
837	3084	7957
838	3087	7952
839	3090	7948
840	3094	7943
841	3097	7939
842	3101	7935
843	3104	7931
844	3109	7929
845	3112	7925
846	3116	7922
847	3120	7917
848	3124	7916
849	3127	7911
850	3131	7906
851	3134	7903
852	3138	7900
853	3142	7895
854	3145	7890
855	3148	7886
856	3151	7881
857	3155	7877
858	3158	7872
859	3161	7867
860	3165	7864
861	3168	7859
862	3172	7854
863	3176	7853
864	3180	7849
865	3184	7846
866	3187	7842
867	3191	7839
868	3194	7834
869	3198	7830
870	3201	7825
871	3204	7821
872	3208	7816
873	3212	7813
874	3215	7810
875	3219	7805
876	3222	7801
877	3226	7797
878	3229	7793
879	3233	7788
880	3236	7784
881	3240	7782
882	3244	7778
883	3247	7773
884	3251	7770
885	3254	7765
886	3257	7761
887	3261	7757
888	3265	7755
889	3269	7750
890	3272	7747
891	3276	7742
892	3279	7738
893	3283	7734
894	3287	7732
895	3290	7727
896	3294	7724
897	3298	7720
898	3301	7716
899	3305	7712
900	3309	7709
901	3313	7706
902	3316	7702
903	3320	7698
904	3324	7694
905	3327	7690
906	3331	7687
907	3334	7682
908	3338	7679
909	3341	7675
910	3345	7670
911	3348	7666
912	3352	7662
913	3355	7658
914	3359	7655
915	3363	7651
916	3366	7647
917	3370	7643
918	3373	7639
919	3378	7637
920	3381	7633
921	3385	7630
922	3389	7627
923	3392	7622
924	3396	7619
925	3399	7615
926	3404	7613
927	3407	7607
928	3410	7603
929	3414	7599
930	3417	7594
931	3421	7590
932	3424	7586
933	3427	7581
934	3431	7579
935	3436	7576
936	3439	7572
937	3442	7568
938	3446	7563
939	3450	7561
940	3454	7559
941	3458	7555
942	3462	7551
943	3465	7547
944	3469	7544
945	3472	7540
946	3476	7535
947	3479	7531
948	3482	7527
949	3486	7523
950	3490	7519
951	3493	7515
952	3496	7511
953	3500	7506
954	3503	7502
955	3507	7498
956	3510	7495
957	3515	7493
958	3518	7488
959	3522	7485
960	3525	7481
961	3530	7478
